Регион;Средний возраст 2017;Средний возраст 2019
Тульская область;42,96;39,3
Тамбовская область;42,9;39,8
Рязанская область;42,49;39,5
Пензенская область;42,14;39,3
Псковская область;41,97;41,2
Тверская область;41,94;40,1
Воронежская область;41,92;38,7
Москва;41,89;39,1
Владимирская область;41,86;39,8
Орловская область;41,8;39,9
Ивановская область;41,75;39
Смоленская область;41,72;40,7
Ленинградская область;41,7;39,5
Новгородская область;41,66;40,9
Ульяновская область;41,64;37,5
Мордовия;41,61;34,8
Липецкая область;41,57;39,7
Курская область;41,57;39,6
Ярославская область;41,47;39,9
Калужская область;41,44;39,7
Брянская область;41,28;40,2
Санкт-Петербург;41,24;39,4
Нижегородская область;41,16;38,9
Белгородская область;41,13;37,9
Саратовская область;41,11;39,4
Крым;40,91;42,1
Курганская область;40,9;37,8
Ростовская область;40,76;38,5
Самарская область;40,73;37,6
Севастополь;40,72;43,2
Московская область;40,06;39,2
Краснодарский край;39,97;39
Вологодская область;39,89;41
Свердловская область;39,5;37,5
Челябинская область;39,4;36,9
Новосибирская область;39,33;36,3
Кемеровская область;39,28;38
Удмуртия;38,68;38,8
Сахалинская область;38,59;36
Астраханская область;38,52;34,4
Мурманская область;38,49;37,9
Хабаровский край;38,27;35
Магаданская область;38,26;40
Красноярский край;38,18;36,5
Томская область;38,01;34,8
Амурская область;37,9;34,3
Камчатский край;37,87;37
Еврейская автономная область;37,63;28,2
Иркутская область;37,42;36
Тюменская область;37,11;34,7
Ханты-Мансийский автономный округ;34,65;30,9
Чукотский автономный округ;34,85;29,8
Ненецкий автономный округ;35,13;29,5
Забайкальский край;35,9;37,2
