Год;Квартальные данные;Численность безработных в возрасте 15 лет и старше по субъектам Российской Федерации, в среднем за три месяца(тысяч);Миграция;Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций;Естественный прирост населения;Рождаемость;Доля трудоспособного населения
2012;I кв.;4354000;120000;9000;-10611;399438;752500
;II кв.;5225000;135000;9200;-68063;456500;756200
;III кв.;5934000;140000;9400;-29774;570625;758000
;IV кв.;6344000;150000;9500;-20643;475521;751784
2013;I кв.;5212000;130000;11000;-299;398123;736750
;II кв.;5800000;145000;11500;-299;454997;740200
;III кв.;6212000;155000;11800;-106;568747;741900
;IV кв.;6112000;160000;12000;-3547;473955;736600
2014;I кв.;5672000;110000;17000;3889;408963;720400
;II кв.;4841000;125000;17500;5210;466244;723200
;III кв.;4521000;130000;18000;88;582805;725700
;IV кв.;4312000;140000;18500;14826;484671;720425
2015;I кв.;4112000;100000;30500;22316;407522;705300
;II кв.;3847500;115000;31500;2982;465739;708600
;III кв.;3607900;120000;32500;2507;582174;709100
;IV кв.;3368300;130000;33000;2531;485144;704932
2016;I кв.;3128700;90000;35000;5764;396633;689800
;II кв.;3848000;105000;36000;11820;453295;692700
;III кв.;3921000;110000;37000;8985;566619;694500
;IV кв.;4000000;120000;38000;5469;472182;690154
2017;I кв.;4224000;336912;39167;-1140;354965;678200
;II кв.;3965600;401086;35983;-181;405674;681700
;III кв.;3853200;465260;40103;-416;507092;683000
;IV кв.;3883500;401086;37723;-549;422576;678912
2018;I кв.;3858900;311026;40691;-26751;336912;664300
;II кв.;3635200;370268;44477;-67563;384803;667200
;III кв.;3530500;429511;41830;-9785;481303;670100
;IV кв.;3667200;370268;46850;-31719;401326;666044
2019;I кв.;3633900;301668;43944;-97490;310026;651200
;II кв.;3453500;359128;48453;-5167;355457;654800
;III кв.;3352700;416589;45726;-101600;444322;656400
;IV кв.;3511600;359128;51684;-20309;371269;652564
2020;I кв.;3485100;293633;48390;-2647;301668;659000
;II кв.;4500400;349563;50784;-116984;344764;662200
;III кв.;4807000;405493;49021;-132600;430954;663700
;IV кв.;4609600;349563;56044;-65002;359128;661540
2021;I кв.;4252900;293633;52143;-115991;293633;650100
;II кв.;3761600;349563;57275;-32815;335581;653800
;III кв.;3389400;405493;54133;-368053;419476;654600
;IV кв.;3281500;349563;62828;-185213;349563;652520
2022;I кв.;3177700;273858;60101;-41794;273858;657200
;II кв.;3003200;326022;63784;-219497;312981;659500
;III кв.;2926200;378185;61385;-11237;391226;661300
;IV кв.;2846800;326022;71377;-770813;326022;658272
2023;I кв.;2659500;273858;66778;-71408;312000;645100
;II кв.;2407600;326022;73534;-259023;314000;648200
;III кв.;2286400;378185;70639;-89074;330000;649800
;IV кв.;2248700;326022;83684;-175052;309000;644936
2024;I кв.;2094800;265514;80582;-66184;300200;646734
;II кв.;1942200;316088;86495;-17096;299000;646221
;III кв.;1843400;366663;83891;-292162;335000;645643
;IV кв.;1779100;316088;100620;-124822;288000;644734
