Дата,Миграция (прогноз),Миграция (нижняя граница),Миграция (верхняя граница),Безработные (прогноз),Безработные (нижняя граница),Безработные (верхняя граница)
2025-01-01,270015.5933540169,176882.39992385765,363148.7867841761,1765463.4307022083,1081967.5291384363,2448959.33226598
2025-04-01,315191.2977630714,169667.01498875135,460715.58053739136,1762571.4241359024,688562.2015350133,2836580.646736792
2025-07-01,356283.0043837832,175602.49825891125,536963.5105086551,1761958.095240862,386565.24469167367,3137350.9457900506
2025-10-01,310670.8028821253,109001.0884887015,512340.5172755491,1761828.022115208,136663.1745910833,3386992.8696393324
2026-01-01,274352.84108668123,51352.81985625817,497352.8623171043,1761800.4365601265,-80212.57460620417,3603813.447726456
2026-04-01,320083.5826495489,70754.65815200697,569412.5071470907,1761794.586290554,-274224.0002156692,3797813.1727967774
2026-07-01,351844.8363406571,81245.13970478828,622444.5329765258,1761793.3455812784,-451312.91495351936,3974899.606116076
2026-10-01,306285.04114894464,21113.38480219245,591456.6974956968,1761793.0824550262,-615249.1630865287,4138835.327996581
2027-01-01,278855.62518156506,-22357.34858530457,580068.5989484347,1761793.0266519256,-768587.4202994157,4292173.473603267
2027-04-01,323982.6078031393,2963.331929951149,645001.8836763275,1761793.0148173557,-913150.275171514,4436736.304806225
2027-07-01,347310.8008854463,10028.57847511809,684593.0232957746,1761793.012307512,-1050291.3074190505,4573877.332034075
2027-10-01,302851.81735934864,-46380.91071195231,652084.5454306495,1761793.0117752312,-1181048.2826431373,4704634.3061936
