,Прогноз,Нижняя граница 95%,Верхняя граница 95%
2025-01-01,270015.5933540169,176882.39992385765,363148.78678417613
2025-04-01,315191.2977630714,169667.01498875135,460715.58053739136
2025-07-01,356283.0043837832,175602.49825891125,536963.5105086551
2025-10-01,310670.8028821253,109001.0884887015,512340.5172755491
2026-01-01,274352.84108668123,51352.81985625817,497352.8623171043
2026-04-01,320083.5826495489,70754.65815200697,569412.5071470907
2026-07-01,351844.8363406571,81245.13970478828,622444.5329765258
2026-10-01,306285.04114894464,21113.38480219245,591456.6974956968
2027-01-01,278855.62518156506,-22357.34858530457,580068.5989484347
2027-04-01,323982.6078031393,2963.3319299511495,645001.8836763275
2027-07-01,347310.8008854463,10028.57847511809,684593.0232957746
2027-10-01,302851.81735934864,-46380.91071195231,652084.5454306495
