date,хорошее здоровье_MOW_2010_2015,как сохранить здоровье_MOW_2010_2015,влияет на здоровье_MOW_2010_2015,физическая нагрузка_MOW_2010_2015,как правильно питаться_MOW_2010_2015
2010-01-01,0,0,0,0,0
2010-02-01,0,0,0,0,0
2010-03-01,0,0,0,0,0
2010-04-01,0,0,0,0,0
2010-05-01,0,0,0,0,0
2010-06-01,0,0,0,0,0
2010-07-01,0,0,0,0,0
2010-08-01,0,0,0,0,0
2010-09-01,0,0,0,0,0
2010-10-01,0,0,0,0,0
2010-11-01,0,0,0,100,0
2010-12-01,0,0,0,0,0
2011-01-01,0,0,0,0,0
2011-02-01,0,0,0,0,0
2011-03-01,0,0,0,0,62
2011-04-01,0,0,0,0,0
2011-05-01,0,0,0,0,0
2011-06-01,0,0,0,0,70
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,45
2011-11-01,0,0,0,0,44
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,35,62
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,59
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,42
2012-07-01,0,0,0,0,52
2012-08-01,0,0,0,0,36
2012-09-01,0,0,70,0,38
2012-10-01,0,0,0,0,39
2012-11-01,0,0,83,0,50
2012-12-01,0,73,0,0,31
2013-01-01,0,0,0,0,40
2013-02-01,0,0,0,0,52
2013-03-01,92,0,0,21,81
2013-04-01,0,0,79,27,48
2013-05-01,0,0,0,0,39
2013-06-01,0,0,0,0,34
2013-07-01,0,0,82,0,49
2013-08-01,0,0,0,0,47
2013-09-01,0,0,0,0,45
2013-10-01,0,0,0,0,66
2013-11-01,0,0,49,0,54
2013-12-01,0,0,0,0,41
2014-01-01,0,0,56,0,73
2014-02-01,0,0,0,0,57
2014-03-01,0,0,47,0,77
2014-04-01,0,0,71,0,51
2014-05-01,0,0,47,0,58
2014-06-01,0,0,0,0,74
2014-07-01,0,0,85,0,65
2014-08-01,0,0,0,0,61
2014-09-01,0,0,0,0,39
2014-10-01,0,0,0,0,61
2014-11-01,0,0,73,0,58
2014-12-01,0,0,86,0,39
2015-01-01,0,0,0,0,72
2015-02-01,0,0,0,16,100
2015-03-01,0,0,49,0,93
2015-04-01,0,0,58,0,76
2015-05-01,0,0,65,25,78
2015-06-01,0,74,0,19,67
2015-07-01,0,0,0,0,42
2015-08-01,0,0,0,0,36
2015-09-01,0,0,78,0,64
2015-10-01,0,0,0,24,37
2015-11-01,0,0,62,19,63
2015-12-01,0,0,55,0,48
2016-01-01,0,0,50,0,52
2016-02-01,0,0,60,0,77
2016-03-01,0,0,43,0,74
2016-04-01,0,0,73,0,62
2016-05-01,0,0,52,0,58
2016-06-01,0,0,0,0,61
2016-07-01,0,0,0,29,57
2016-08-01,0,0,0,0,60
2016-09-01,0,0,0,0,43
2016-10-01,0,0,42,0,49
2016-11-01,0,0,48,0,61
2016-12-01,0,0,57,0,38
2017-01-01,0,55,49,0,65
2017-02-01,0,0,43,0,44
2017-03-01,0,0,60,14,54
2017-04-01,0,0,49,16,60
2017-05-01,0,0,79,23,43
2017-06-01,0,63,50,22,47
2017-07-01,0,0,0,0,37
2017-08-01,0,0,0,0,56
2017-09-01,0,0,63,0,34
2017-10-01,0,0,0,0,34
2017-11-01,0,0,63,0,42
2017-12-01,0,0,68,16,31
2018-01-01,0,0,54,0,46
2018-02-01,0,0,43,0,65
2018-03-01,0,0,49,0,36
2018-04-01,0,0,73,17,40
2018-05-01,0,0,49,21,24
2018-06-01,0,0,0,0,44
2018-07-01,0,0,0,0,28
2018-08-01,0,0,0,0,36
2018-09-01,0,0,59,0,23
2018-10-01,0,0,92,0,29
2018-11-01,0,0,46,17,37
2018-12-01,0,0,0,0,22
2019-01-01,0,0,55,0,34
2019-02-01,0,0,0,26,48
2019-03-01,0,0,43,0,30
2019-04-01,0,77,100,0,38
2019-05-01,0,0,50,17,28
2019-06-01,0,0,56,0,25
2019-07-01,0,0,0,0,0
2019-08-01,0,0,0,0,40
2019-09-01,0,0,58,19,24
2019-10-01,0,0,55,0,28
2019-11-01,0,0,81,0,41
2019-12-01,0,100,43,0,21
2020-01-01,0,0,0,18,39
2020-02-01,0,0,51,0,41
2020-03-01,0,0,66,0,19
2020-04-01,0,0,91,0,0
2020-05-01,0,0,52,0,22
2020-06-01,100,0,56,0,23
2020-07-01,0,0,0,0,0
2020-08-01,0,0,0,0,0
2020-09-01,0,0,57,0,0
2020-10-01,0,0,0,0,29
2020-11-01,0,0,54,21,0
2020-12-01,0,0,68,0,23
