Дата,Год,Квартал,Безработные,Раб_сила,Миграция,Зарплата,Прирост,Безработные_diff1,Миграция_diff1
2012-01-01,2012.0,I кв.,4354000,72298000,120000,9000,-10611,,
2012-04-01,2012.0,II кв.,5225000,72409100,135000,9200,-68063,871000.0,15000.0
2012-07-01,2012.0,III кв.,5934000,72062600,140000,9400,-29774,709000.0,5000.0
2012-10-01,2012.0,IV кв.,6344000,73166900,150000,9500,-20643,410000.0,10000.0
2013-01-01,2013.0,I кв.,5212000,73049200,130000,11000,-299,-1132000.0,-20000.0
2013-04-01,2013.0,II кв.,5800000,73275220,145000,11500,-299,588000.0,15000.0
2013-07-01,2013.0,III кв.,6212000,73501240,155000,11800,-106,412000.0,10000.0
2013-10-01,2013.0,IV кв.,6112000,73727260,160000,12000,-3547,-100000.0,5000.0
2014-01-01,2014.0,I кв.,5672000,73953280,110000,17000,3889,-440000.0,-50000.0
2014-04-01,2014.0,II кв.,4841000,74179300,125000,17500,5210,-831000.0,15000.0
2014-07-01,2014.0,III кв.,4521000,74405320,130000,18000,88,-320000.0,5000.0
2014-10-01,2014.0,IV кв.,4312000,74631340,140000,18500,14826,-209000.0,10000.0
2015-01-01,2015.0,I кв.,4112000,74857360,100000,30500,22316,-200000.0,-40000.0
2015-04-01,2015.0,II кв.,3847500,75083380,115000,31500,2982,-264500.0,15000.0
2015-07-01,2015.0,III кв.,3607900,75309400,120000,32500,2507,-239600.0,5000.0
2015-10-01,2015.0,IV кв.,3368300,75535420,130000,33000,2531,-239600.0,10000.0
2016-01-01,2016.0,I кв.,3128700,75761440,90000,35000,5764,-239600.0,-40000.0
2016-04-01,2016.0,II кв.,3848000,75987460,105000,36000,11820,719300.0,15000.0
2016-07-01,2016.0,III кв.,3921000,76213480,110000,37000,8985,73000.0,5000.0
2016-10-01,2016.0,IV кв.,4000000,76439500,120000,38000,5469,79000.0,10000.0
2017-01-01,2017.0,I кв.,4224000,76298000,336912,39167,-1140,224000.0,216912.0
2017-04-01,2017.0,II кв.,3965600,76409100,401086,35983,-181,-258400.0,64174.0
2017-07-01,2017.0,III кв.,3853200,77062600,465260,40103,-416,-112400.0,64174.0
2017-10-01,2017.0,IV кв.,3883500,76866900,401086,37723,-549,30300.0,-64174.0
2018-01-01,2018.0,I кв.,3858900,76331700,311026,40691,-26751,-24600.0,-90060.0
2018-04-01,2018.0,II кв.,3635200,76507100,370268,44477,-67563,-223700.0,59242.0
2018-07-01,2018.0,III кв.,3530500,77012000,429511,41830,-9785,-104700.0,59243.0
2018-10-01,2018.0,IV кв.,3667200,76667700,370268,46850,-31719,136700.0,-59243.0
2019-01-01,2019.0,I кв.,3633900,75494100,301668,43944,-97490,-33300.0,-68600.0
2019-04-01,2019.0,II кв.,3453500,75546200,359128,48453,-5167,-180400.0,57460.0
2019-07-01,2019.0,III кв.,3352700,76121300,416589,45726,-101600,-100800.0,57461.0
2019-10-01,2019.0,IV кв.,3511600,76359900,359128,51684,-20309,158900.0,-57461.0
2020-01-01,2020.0,I кв.,3485100,75296000,293633,48390,-2647,-26500.0,-65495.0
2020-04-01,2020.0,II кв.,4500400,75111600,349563,50784,-116984,1015300.0,55930.0
2020-07-01,2020.0,III кв.,4807000,75721300,405493,49021,-132600,306600.0,55930.0
2020-10-01,2020.0,IV кв.,4609600,75736100,349563,56044,-65002,-197400.0,-55930.0
2021-01-01,2021.0,I кв.,4252900,75645700,293633,52143,-115991,-356700.0,-55930.0
2021-04-01,2021.0,II кв.,3761600,75900900,349563,57275,-32815,-491300.0,55930.0
2021-07-01,2021.0,III кв.,3389400,76183300,405493,54133,-368053,-372200.0,55930.0
2021-10-01,2021.0,IV кв.,3281500,76147100,349563,62828,-185213,-107900.0,-55930.0
2022-01-01,2022.0,I кв.,3177700,75405000,273858,60101,-41794,-103800.0,-75705.0
2022-04-01,2022.0,II кв.,3003200,75584100,326022,63784,-219497,-174500.0,52164.0
2022-07-01,2022.0,III кв.,2926200,75826600,378185,61385,-11237,-77000.0,52163.0
2022-10-01,2022.0,IV кв.,2846800,75714000,326022,71377,-770813,-79400.0,-52163.0
2023-01-01,2023.0,I кв.,2659500,75551000,273858,66778,-71408,-187300.0,-52164.0
2023-04-01,2023.0,II кв.,2407600,75849600,326022,73534,-259023,-251900.0,52164.0
2023-07-01,2023.0,III кв.,2286400,76379000,378185,70639,-89074,-121200.0,52163.0
2023-10-01,2023.0,IV кв.,2248700,76367200,326022,83684,-175052,-37700.0,-52163.0
2024-01-01,2024.0,I кв.,2094800,75517400,265514,80582,-66184,-153900.0,-60508.0
2024-04-01,2024.0,II кв.,1942200,76123500,316088,86495,-17096,-152600.0,50574.0
2024-07-01,2024.0,III кв.,1843400,76329000,366663,83891,-292162,-98800.0,50575.0
2024-10-01,2024.0,IV кв.,1779100,76448700,316088,100620,-124822,-64300.0,-50575.0
